Code,Label
64572001,Disease
404177007,Angioedema and/or urticaria
402383003,Idiopathic urticaria and/or angioedema
402382008,Idiopathic angioedema
41291007,Angioedema
402406008,Angioedema of lips
402387002,Allergic angioedema
402388007,Allergic angioedema due to ingested food
402389004,Allergic angioedema due to bite and/or sting
402411005,Cholinergic angioedema
402405007,Angioedema of eyelids
703795004,Angioedema due to disorder of kinin metabolism
403607004,Angioedema due to angiotensin-converting-enzyme inhibitor
402602000,Angioedema due to disorder of C1 esterase inhibitor
234619000,Hereditary C1 esterase inhibitor deficiency - deficient factor
241955009,Acquired C1 esterase inhibitor deficiency
703801008,Acquired angioedema due to lymphoproliferative disorder
703802001,Acquired angioedema due to C1 inhibitor autoantibody
234620006,Hereditary C1 esterase inhibitor deficiency - dysfunctional factor
371627004,ACE inhibitor-aggravated angioedema
82966003,Hereditary angioedema
427167008,Hereditary angioedema with normal C1 esterase inhibitor activity
402407004,Angioedema of tongue
241957001,Food-induced angioedema-urticaria
241956005,Venom-induced angioedema-urticaria
402404006,Episodic angioedema with eosinophilia
241962000,Chemical-aggravated angioedema-urticaria
241963005,Azo-dye-induced angioedema-urticaria
241964004,Sodium benzoate-induced angioedema-urticaria
241965003,Latex-induced angioedema-urticaria
402401003,Autoimmune angioedema
238694002,Vibratory angioedema
241958006,Drug-aggravated angioedema-urticaria
241959003,NSAID-induced angioedema-urticaria
241960008,Aspirin-induced angioedema-urticaria
277785006,Penicillin-induced angioedema-urticaria
402392000,Allergic urticaria and/or angioedema
40178009,Allergic urticaria
402304007,Allergic contact urticaria
402385005,Allergic urticaria due to bite and/or sting
402384009,Allergic urticaria due to ingested food
373674001,Anaphylactic urticaria
402386006,Allergic urticaria due to inhaled allergen
402402005,Autoimmune urticaria and/or angioedema
402397006,Autoimmune urticaria
402398001,Acute autoimmune urticaria
402399009,Chronic autoimmune urticaria
402400002,Episodic autoimmune urticaria
2704003,Acute disease
702691009,Acute serositis
128484008,Acute disease of lymphatic vessel
111472004,Transitory neonatal endocrine AND/OR metabolic disorder
12901004,Transitory neonatal electrolyte disturbance
206490007,Transitory neonatal hyponatremia
206492004,Transitory neonatal hypokalemia
206489003,Transitory neonatal hypernatremia
206491006,Transitory neonatal hyperkalemia
276645004,Infantile hypercalcemia
277481003,Idiopathic infantile hypercalcemia - severe form
47100003,Anemia of prematurity
276561008,Transitory neonatal hypoglycemia
1682008,Transitory amino acid metabolic disorder
127334004,Acute skin disorder
302161006,Acute idiopathic urticaria
13507004,Purpura fulminans
402851000,Neonatal purpura fulminans (homozygous protein C deficiency)
239092005,Transient neonatal pustulosis
402856005,Acute hemorrhagic edema of childhood
240654003,Chagoma
26435006,Acute dermatitis
74207008,Acute vesicular dermatitis
402930002,Acute bacterial paronychia
12761008,Acute photoallergic dermatitis
123687007,Acute folliculitis
30250000,Acute otitis externa
402207002,Acute seborrheic otitis externa
54272002,Acute eczematoid otitis externa
267665002,Acute infective otitis externa
700220003,Acute bacterial otitis externa
232223003,Acute fungal otitis externa
302905001,Aspergillus otomycosis
232222008,Acute viral otitis externa
21543000,Acute actinic otitis externa
232232001,Acute non-infective otitis externa
18953001,Acute contact otitis externa
232234000,Acute allergic otitis externa
232235004,Acute traumatic otitis externa
232233006,Acute irritant otitis externa
79150005,Acute chemical otitis externa
194217007,Acute radiation otitis externa
123689005,"Inflammatory hyperkeratotic dermatosis, acute"
238560007,Acute podopompholyx
111189002,Acute contact dermatitis
425630003,Acute irritant contact dermatitis
85791004,Ecthyma
22434008,Early radiation dermatitis
254190005,Transient neonatal bullous dermatosis
240381007,Acute miliary cutaneous tuberculosis
396348002,Acute eczema
11011007,Acute infantile eczema
238550003,Acute cheiropodopompholyx
12477008,Acute phototoxic dermatitis
402480004,Porphyria-induced phototoxic burn
58306008,Acute phytophotodermatitis
82741008,Acute immunologic urticaria
30595008,Acute necrotizing cutaneous leishmaniasis
84625002,Acute febrile neutrophilic dermatosis
403216007,Sweet's disease following infection
402747005,Sweet's disease due to drug
127344002,Acute disorder of ear
433631000124103,Acute labyrinthitis
